,FECHA_ANOTACION,VALOR,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA, HAB, BAÑOS, LOCAL, PISOS,MAX_PUNT,POINT_X,POINT_Y,Latitud,Longitud,Latitud.1,Longitud.1,UTM waypoint Garmin,Estrato/Hacienda
22,2022-03-28 00:00:00,239912999,A,15,80,3,2,0,10,73,1372974.2103,10794753.5989,7.12234497860103,-73.118564122325,"-7º -7' -20,442"" S","73º 7' 6,831"" W",17 N 1372974 10794754,4
356,2021-11-12 00:00:00,182646810,A,142,179,3,3,0,2,41,1374157.2405,10795297.7025,7.12703790621717,-73.1078684859417,"-7º -7' -37,336"" S","73º 6' 28,327"" W",17 N 1374157 10795298,4
1280,2021-05-24 00:00:00,107439299,A,162,99,6,1,0,1,15,1371295.0265,10794344.8441,7.11894044937227,-73.1336895922874,"-7º -7' -8,186"" S","73º 8' 1,283"" W",17 N 1371295 10794345,1
340,2021-06-10 00:00:00,339508188,A,7,85,3,2,0,1,81,1373280.0739,10794708.6491,7.12189518638979,-73.1158274395281,"-7º -7' -18,823"" S","73º 6' 56,979"" W",17 N 1373280 10794709,4
431,2022-01-27 00:00:00,625860000,A,420,242,6,1,0,1,23,1371872.2868,10795510.3565,7.12929498826593,-73.1283321254951,"-7º -7' -45,462"" S","73º 7' 41,996"" W",17 N 1371872 10795510,3
473,2022-03-01 00:00:00,260774999,A,48,179,4,2,0,3,66,1372631.0702,10795876.672,7.13246044793887,-73.1214691316731,"-7º -7' -56,858"" S","73º 7' 17,289"" W",17 N 1372631 10795877,4
217,2021-12-10 00:00:00,204134669,C,8,32,0,1,0,1,79,1373235.9823,10794703.7943,7.12185847093893,-73.1162236888271,"-7º -7' -18,69"" S","73º 6' 58,405"" W",17 N 1373236 10794704,4
911,2022-05-11 00:00:00,104309999,A,127,109,5,1,0,1,43,1371138.9729,10798207.5308,7.15357506240186,-73.1344947135993,"-7º -9' -12,87"" S","73º 8' 4,181"" W",17 N 1371139 10798208,2
1212,2021-03-17 00:00:00,87992786,A,9,40,2,1,0,19,47,1371512.5735,10797847.9472,7.15029552579451,-73.1311986622447,"-7º -9' -1,064"" S","73º 7' 52,315"" W",17 N 1371513 10797848,2
1011,2022-02-01 00:00:00,123727720,A,11,49,3,2,0,5,60,1371471.4235,10797860.236,7.15041197884734,-73.131565917585,"-7º -9' -1,483"" S","73º 7' 53,637"" W",17 N 1371471 10797860,2
1467,2022-08-24 00:00:00,36508500,A,38,56,1,1,0,2,31,1369883.1812,10798012.5321,7.15202123197047,-73.1457906526442,"-7º -9' -7,276"" S","73º 8' 44,846"" W",17 N 1369883 10798013,2
93,2022-03-01 00:00:00,302570973,A,15,73,0,0,0,18,75,1372734.5551,10794320.353,7.11849996631883,-73.1207805250936,"-7º -7' -6,6"" S","73º 7' 14,81"" W",17 N 1372735 10794320,4
1008,2021-11-09 00:00:00,127439552,A,11,49,3,2,0,4,60,1371462.8803,10797871.9875,7.15051859135137,-73.131640744001,"-7º -9' -1,867"" S","73º 7' 53,907"" W",17 N 1371463 10797872,2
1070,2022-01-19 00:00:00,123610901,A,11,49,3,2,0,14,60,1371476.3581,10797866.0715,7.15046350533865,-73.1315207491622,"-7º -9' -1,669"" S","73º 7' 53,475"" W",17 N 1371476 10797866,2
1092,2021-12-21 00:00:00,127439552,A,11,49,3,2,0,17,60,1371476.3581,10797866.0715,7.15046350533865,-73.1315207491622,"-7º -9' -1,669"" S","73º 7' 53,475"" W",17 N 1371476 10797866,2
696,2022-03-22 00:00:00,198188999,A,72,77,3,2,0,3,47,1371973.3587,10792312.505,7.10062633991981,-73.1279167948601,"-7º -6' -2,255"" S","73º 7' 40,5"" W",17 N 1371973 10792313,4
996,2021-08-09 00:00:00,120332015,A,11,49,3,2,0,3,60,1371485.4949,10797862.0534,7.15042609401173,-73.1314394040842,"-7º -9' -1,534"" S","73º 7' 53,182"" W",17 N 1371485 10797862,2
153,2022-06-02 00:00:00,83448000,C,26,58,0,0,1,2,43,1371901.3506,10794694.2945,7.12197850777984,-73.1281969757077,"-7º -7' -19,123"" S","73º 7' 41,509"" W",17 N 1371901 10794694,2
1099,2021-12-21 00:00:00,127319228,A,11,49,3,2,0,18,60,1371482.5488,10797855.3437,7.15036642802312,-73.1314668688094,"-7º -9' -1,319"" S","73º 7' 53,281"" W",17 N 1371483 10797855,2
1308,2022-08-25 00:00:00,46939499,A,73,69,3,1,0,1,16,1371162.5354,10795813.3458,7.13211893616793,-73.1346523218198,"-7º -7' -55,628"" S","73º 8' 4,748"" W",17 N 1371163 10795813,3
1506,2021-10-19 00:00:00,32231789,A,39,77,1,1,0,2,23,1370247.7028,10797896.7981,7.15092809405797,-73.1425382976254,"-7º -9' -3,341"" S","73º 8' 33,138"" W",17 N 1370248 10797897,2
789,2022-01-20 00:00:00,93878999,A,72,76,3,2,0,3,44,1371825.4483,10792537.6523,7.10266634415731,-73.1292090103439,"-7º -6' -9,599"" S","73º 7' 45,152"" W",17 N 1371825 10792538,4
580,2022-07-21 00:00:00,116827199,A,95,74,0,0,0,2,59,1374587.3933,10791870.2081,7.09626261241271,-73.1045379808939,"-7º -5' -46,545"" S","73º 6' 16,337"" W",17 N 1374587 10791870,4
703,2021-03-12 00:00:00,134299125,A,72,77,4,3,0,3,48,1372000.1764,10792244.9913,7.10001730205732,-73.1276865957063,"-7º -6' -0,062"" S","73º 7' 39,672"" W",17 N 1372000 10792245,4
1465,2022-01-06 00:00:00,64088063,A,38,77,1,1,0,2,32,1369587.898,10797758.2042,7.14978775177472,-73.1484788878612,"-7º -8' -59,236"" S","73º 8' 54,524"" W",17 N 1369588 10797758,2
487,2022-11-08 00:00:00,2052591526,J,621,321,2,1,0,1,28,1372820.136,10795624.2504,7.13016965595899,-73.1198120652774,"-7º -7' -48,611"" S","73º 7' 11,323"" W",17 N 1372820 10795624,4
559,2022-01-11 00:00:00,260774999,A,140,89,3,2,0,2,56,1372833.6031,10790846.2664,7.08735709264912,-73.1204254215622,"-7º -5' -14,486"" S","73º 7' 13,532"" W",17 N 1372834 10790846,4
801,2022-02-04 00:00:00,166896000,A,121,117,4,1,0,1,31,1372205.5863,10796265.4441,7.13600935697118,-73.125225963656,"-7º -8' -9,634"" S","73º 7' 30,813"" W",17 N 1372206 10796265,3
512,2022-07-11 00:00:00,260774999,A,169,162,5,2,0,1,40,1373161.9371,10795503.2892,7.12903323260519,-73.1167646873096,"-7º -7' -44,52"" S","73º 7' 0,353"" W",17 N 1373162 10795503,4
633,2021-12-30 00:00:00,171902880,A,54,96,0,0,0,0,46,1372583.8057,10789753.5754,7.07760477866268,-73.1228331804162,"-7º -4' -39,377"" S","73º 7' 22,199"" W",17 N 1372584 10789754,3
1116,2021-11-30 00:00:00,127319228,A,11,49,3,2,0,20,60,1371453.74,10797875.9942,7.15055590107145,-73.1317221223008,"-7º -9' -2,001"" S","73º 7' 54,2"" W",17 N 1371454 10797876,2
1346,2022-12-16 00:00:00,114740999,K,148,145,4,1,0,1,27,1370535.3865,10794699.3093,7.12223309758891,-73.1404494512406,"-7º -7' -20,039"" S","73º 8' 25,618"" W",17 N 1370535 10794699,1
790,2022-06-16 00:00:00,73017000,A,67,70,3,2,0,3,44,1371793.4209,10792545.9325,7.10274544152577,-73.1294950237414,"-7º -6' -9,884"" S","73º 7' 46,182"" W",17 N 1371793 10792546,4
